dur,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,attack_cat
6.723113307749288,5,28,4561,1298,50555.716933395764,31,29,806245.5082561285,785116.8316500932,Normal
4.881295914006597,3,41,504,3085,75283.64276110413,254,252,102400.6307576388,510179.64800758706,Normal
8.255126245184927,22,5,1707,1338,7572.852761093832,62,252,214434.33669830285,624361.17883937,Normal
0.3154324298753552,48,7,3305,3199,44201.58678531684,31,60,621967.4510176969,511896.0112404607,Normal
8.080691583685113,1,49,4000,4051,94401.26495076975,31,29,174830.042869031,357181.13447002554,Normal
5.656608578685696,46,34,637,3917,24850.040234917786,62,60,387098.0438065836,348405.8657617023,Normal
2.9769273645407357,5,2,3692,2961,26269.735906092097,62,60,759648.3449581842,148507.62436473396,Normal
0.4679105093490256,32,15,3810,117,82538.97536083945,254,29,320927.07996604725,495369.0708604046,Generic
9.906283367308491,24,47,2057,1161,29195.183093486354,31,29,55116.25472447682,793618.7208837619,Normal
0.06925050470350826,15,12,3321,4271,53487.79688343904,31,60,690834.7499388705,502462.86583285994,Generic
7.698160488871209,45,10,1656,56,73468.01057039738,254,60,874538.291798751,908744.5502421458,Normal
7.467924242842003,44,14,4799,1807,11947.582695217567,31,252,233183.43093078054,607170.1335655248,Normal
3.7750119244133167,14,40,3534,3904,70646.20889048374,254,60,978707.5961487473,218564.1986083755,Normal
4.941980374957518,43,25,3919,2473,89592.41611351281,62,252,89075.88285600833,37937.69304381023,DoS
9.289554972563696,10,43,507,3262,29918.723978076476,254,29,149927.14932224707,733146.1345606622,Normal
3.9551449894138573,29,16,1826,703,29368.225115634228,31,29,751869.9726176497,915875.8215981649,Normal
9.739589011992772,11,11,2377,1395,65365.667368941184,254,60,384933.3724389579,462985.3079382231,Normal
5.244622739037026,10,23,4328,1986,4411.455853189972,31,60,255944.16655467908,418490.02615153,Generic
0.9370373198842281,47,20,2775,1481,30433.04289476214,31,60,652809.9921083569,569621.6822017337,Generic
8.133270819408507,28,13,1111,4510,96877.31409840069,62,252,248380.1177695246,454848.60391049023,Exploits
2.1176561691080455,9,28,3511,1036,69983.81153778138,62,29,677884.6517891893,354939.5691296926,Generic
5.543903500122264,13,15,2852,1660,92064.53874570405,62,252,94808.36057683517,196148.3202249198,Normal
2.923398890475657,9,6,2674,3469,44654.98881421304,62,60,672204.9875430784,273823.53727218125,Normal
8.161607457511895,1,28,2673,1511,38893.486009047876,254,252,519700.2989834068,357542.6446018183,Normal
8.280597619501908,33,45,3737,1045,42471.484908190854,254,29,542045.316097823,4102.060510197236,Normal
2.2165521399240475,46,27,1543,3055,7504.250248408819,254,252,49399.22882318671,382343.9147861777,Normal
6.448702181331513,22,33,3606,3674,35256.81272504893,254,60,95447.15394828851,482622.78706037434,Normal
0.9527210377133707,29,7,2076,710,3117.5869174565246,31,29,889807.3542247437,693694.9468994755,Normal
4.117220725190542,42,32,3636,3871,10961.633883294086,254,60,379864.42054108635,926229.4555698347,Normal
0.9695557473654088,12,2,1937,4919,43031.784278523104,254,29,336371.8341230376,636679.2195910433,Normal
1.4409659780779387,9,45,3514,3602,32349.241708237976,31,252,699238.1438352142,18442.246094252267,Generic
2.1227495569802546,44,23,1839,1162,11759.72952852649,62,252,585168.0369078262,207575.8109338438,Normal
4.767084888404145,6,7,1832,3388,41437.56067306859,31,60,796720.07866691,853976.6992331708,Normal
0.7770607521635486,25,47,1528,1447,19319.138779338526,31,60,468910.7786467414,651517.5110427121,Normal
2.351202771463822,5,27,1790,4339,35914.98999759677,254,29,100363.60531581606,554047.4835427293,Normal
0.06652347380895983,47,39,4413,225,4277.144497123656,62,60,476039.0562591725,222629.7512210984,Generic
8.986543226536925,35,13,966,4343,42822.20734733885,62,60,707162.136278298,842692.6299371049,Normal
5.522792034349755,37,19,1959,4668,55556.83526917266,62,252,864757.5574030965,360566.4170758364,Normal
1.6762987305153207,10,35,2477,826,41245.857906946025,31,252,599055.028396383,404569.7472711748,Generic
9.288852956773864,46,42,4154,1491,45658.736874259324,31,60,295725.53613311506,937451.876789399,DoS
5.421334900480403,39,44,738,3809,72805.839975225,254,60,129026.68662566373,658196.1807162286,Normal
0.41854355441110475,20,27,2498,4197,97976.29890112315,62,29,458985.6766700493,638866.719098865,Normal
5.249243522780168,40,23,581,4926,5100.274878469299,31,60,622280.1710244716,894498.176032828,Normal
6.4017852626027345,39,44,4837,4071,46660.997328802354,31,60,779066.9840294914,342994.73739710305,Normal
